Accession	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Protein	Country	Host	Collection_Date
YP_009408391.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	172	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408392.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	210	complete	Alpha amanatin target protein	USA	Homo sapiens	2013
YP_009408393.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	779	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408394.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	434	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408395.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	1875	complete	surface glycoprotein	USA	Homo sapiens	2013
YP_009408396.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	180	complete	TNF receptor	USA	Homo sapiens	2013
YP_009408397.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	571	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408398.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	187	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408399.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	280	complete	Chemokine binding protein	USA	Homo sapiens	2013
YP_009408400.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	174	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408401.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	246	complete	zinc finger protein	USA	Homo sapiens	2013
YP_009408402.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	101	complete	soluble IL-18-binding protein	USA	Homo sapiens	2013
YP_009408403.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	303	complete	BTB Kelch-domain containing protein	USA	Homo sapiens	2013
YP_009408404.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	173	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408405.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	116	complete	secreted EGF-like protein	USA	Homo sapiens	2013
YP_009408406.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	320	complete	IL-1 receptor antagonist	USA	Homo sapiens	2013
YP_009408407.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	257	complete	complement binding	USA	Homo sapiens	2013
YP_009408408.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	516	complete	POZ/BTB kelch domain protein	USA	Homo sapiens	2013
YP_009408409.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	205	complete	putative TLR signalling inhibitor	USA	Homo sapiens	2013
YP_009408410.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	119	complete	Anti-apoptotic Bcl-2-like protein	USA	Homo sapiens	2013
YP_009408411.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	222	complete	Alpha amanatin target protein	USA	Homo sapiens	2013
YP_009408412.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	464	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408413.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	276	complete	ankyrin-repeat protein/NFkB inhibitor	USA	Homo sapiens	2013
YP_009408414.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	84	complete	IFN resistance PKR/eIF-alpha inhibitor	USA	Homo sapiens	2013
YP_009408415.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	420	complete	nicking-Joining Enzyme	USA	Homo sapiens	2013
YP_009408416.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	279	complete	esterase/lipase	USA	Homo sapiens	2013
YP_009408417.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	123	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408418.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	165	complete	Caspase-9 inhibitor (mitochondrial- associated)	USA	Homo sapiens	2013
YP_009408419.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	472	complete	kelch-like protein	USA	Homo sapiens	2013
YP_009408420.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	320	complete	ribonucleotide reductase small subunit	USA	Homo sapiens	2013
YP_009408421.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	321	complete	MHC-I H-chain homolog	USA	Homo sapiens	2013
YP_009408422.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	336	complete	MHC-I H-chain homolog	USA	Homo sapiens	2013
YP_009408423.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	327	complete	36kDa major membrane protein	USA	Homo sapiens	2013
YP_009408424.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	66	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408425.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	82	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408426.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	64	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408427.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	212	complete	S-S bond formation pathway protein substrate	USA	Homo sapiens	2013
YP_009408428.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	440	complete	essential Ser/Thr kinase	USA	Homo sapiens	2013
YP_009408429.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	349	complete	RhoA signalling inhibitor virus release protein	USA	Homo sapiens	2013
YP_009408430.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	644	complete	IEV protein	USA	Homo sapiens	2013
YP_009408431.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	373	complete	major IEV antigen	USA	Homo sapiens	2013
YP_009408432.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	172	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408433.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	49	complete	IMV protein	USA	Homo sapiens	2013
YP_009408434.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	148	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408435.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	221	complete	Non-functional Serine Recombinase	USA	Homo sapiens	2013
YP_009408436.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	100	complete	DNA-binding phosphoprotein	USA	Homo sapiens	2013
YP_009408437.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	472	complete	Poly polymerase catalytic subunit (VP55)	USA	Homo sapiens	2013
YP_009408438.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	736	complete	IEV morphogenesis	USA	Homo sapiens	2013
YP_009408439.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	184	complete	dsRNA-binding protein IFN resistance/PKR inhibitor	USA	Homo sapiens	2013
YP_009408440.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	261	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408441.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	371	complete	Virosome component	USA	Homo sapiens	2013
YP_009408442.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	566	complete	Virion protein	USA	Homo sapiens	2013
YP_009408443.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	269	complete	ER-localized membrane protein virion core protein	USA	Homo sapiens	2013
YP_009408444.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	1007	complete	DNA polymerase	USA	Homo sapiens	2013
YP_009408445.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	96	complete	sulfhydryl oxidase	USA	Homo sapiens	2013
YP_009408446.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	129	complete	virion core protein	USA	Homo sapiens	2013
YP_009408447.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	662	complete	Membrane protein	USA	Homo sapiens	2013
YP_009408448.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	110	complete	thioredoxin domain	USA	Homo sapiens	2013
YP_009408449.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	33	complete	Virus entry/fusion complex component	USA	Homo sapiens	2013
YP_009408450.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	310	complete	DNA-binding core protein	USA	Homo sapiens	2013
YP_009408451.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	68	complete	IMV membrane protein	USA	Homo sapiens	2013
YP_009408452.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	268	complete	ssDNA-binding phosphoprotein	USA	Homo sapiens	2013
YP_009408453.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	763	complete	ribonucleotide reductase	USA	Homo sapiens	2013
YP_009408454.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	78	complete	IMV protein VP13	USA	Homo sapiens	2013
YP_009408455.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	383	complete	telomere binding protein	USA	Homo sapiens	2013
YP_009408456.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	422	complete	essential viral core cysteine proteinase	USA	Homo sapiens	2013
YP_009408457.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	672	complete	RNA-helicase DExH-NPH-II domain	USA	Homo sapiens	2013
YP_009408458.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	590	complete	essential metalloproteinase	USA	Homo sapiens	2013
YP_009408459.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	111	complete	Entry/fusion complex component	USA	Homo sapiens	2013
YP_009408460.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	220	complete	VLTF	USA	Homo sapiens	2013
YP_009408461.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	124	complete	disulfide oxidoreductase	USA	Homo sapiens	2013
YP_009408462.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	441	complete	FEN1-like nuclease	USA	Homo sapiens	2013
YP_009408463.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	63	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408464.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	158	complete	NLPc/P60 superfamily protein	USA	Homo sapiens	2013
YP_009408465.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	381	complete	Virion phosphoprotein early morphogenesis	USA	Homo sapiens	2013
YP_009408466.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	260	complete	VLTF-1	USA	Homo sapiens	2013
YP_009408467.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	339	complete	Entry/fusion complex component	USA	Homo sapiens	2013
YP_009408468.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	249	complete	IMV membrane protein	USA	Homo sapiens	2013
YP_009408469.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	102	complete	Crescent membrane and immature virion formation protein	USA	Homo sapiens	2013
YP_009408470.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	355	complete	Internal Virion Protein	USA	Homo sapiens	2013
YP_009408471.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	250	complete	ss/dsDNA binding protein	USA	Homo sapiens	2013
YP_009408472.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	128	complete	Entry and Fusion IMV protein	USA	Homo sapiens	2013
YP_009408473.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	152	complete	Virion morph	USA	Homo sapiens	2013
YP_009408474.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	180	complete	thymidine kinase	USA	Homo sapiens	2013
YP_009408475.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	333	complete	Poly polymerase small subunit (VP39)	USA	Homo sapiens	2013
YP_009408476.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	185	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408477.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	133	complete	IMV membrane protein	USA	Homo sapiens	2013
YP_009408478.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	1286	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408479.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	171	complete	tyr/ser protein phosphatase	USA	Homo sapiens	2013
YP_009408480.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	192	complete	IMV membrane protein	USA	Homo sapiens	2013
YP_009408481.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	324	complete	IMV heparin binding surface protein	USA	Homo sapiens	2013
YP_009408482.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	795	complete	RAP94	USA	Homo sapiens	2013
YP_009408483.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	199	complete	VLTF-4	USA	Homo sapiens	2013
YP_009408484.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	313	complete	DNA topoisomerase type I	USA	Homo sapiens	2013
YP_009408485.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	144	complete	Crescent membrane and immature virion formation	USA	Homo sapiens	2013
YP_009408486.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	839	complete	mRNA capping enzyme large subunit	USA	Homo sapiens	2013
YP_009408487.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	144	complete	virion core protein	USA	Homo sapiens	2013
YP_009408488.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	233	complete	virion core protein	USA	Homo sapiens	2013
YP_009408489.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	218	complete	uracil-DNA glycosylase	USA	Homo sapiens	2013
YP_009408490.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	788	complete	NTPase DNA primase	USA	Homo sapiens	2013
YP_009408491.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	636	complete	morphogenesis VETF-s	USA	Homo sapiens	2013
YP_009408492.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	161	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408493.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	304	complete	Carbonic anhydrase	USA	Homo sapiens	2013
YP_009408494.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	209	complete	mRNA decapping enzyme	USA	Homo sapiens	2013
YP_009408495.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	251	complete	mRNA decapping enzyme	USA	Homo sapiens	2013
YP_009408496.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	632	complete	ATPase NPH1	USA	Homo sapiens	2013
YP_009408497.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	287	complete	mRNA capping enzyme small subunit	USA	Homo sapiens	2013
YP_009408498.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	549	complete	Trimeric virion coat protein	USA	Homo sapiens	2013
YP_009408499.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	150	complete	VLTF-2	USA	Homo sapiens	2013
YP_009408500.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	224	complete	VLTF-3	USA	Homo sapiens	2013
YP_009408501.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	75	complete	S-S bond formation pathway protein	USA	Homo sapiens	2013
YP_009408502.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	642	complete	p4b precursor	USA	Homo sapiens	2013
YP_009408503.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	309	complete	39kDa virion core protein	USA	Homo sapiens	2013
YP_009408504.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	164	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408505.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	372	complete	Virion morphogenesis core protein	USA	Homo sapiens	2013
YP_009408506.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	719	complete	VETF-L	USA	Homo sapiens	2013
YP_009408507.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	289	complete	VITF-3 34kda subunit	USA	Homo sapiens	2013
YP_009408508.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	88	complete	Viral membrane associated early morphogenesis protein	USA	Homo sapiens	2013
YP_009408509.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	904	complete	P4a precursor	USA	Homo sapiens	2013
YP_009408510.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	316	complete	Viral membrane formation	USA	Homo sapiens	2013
YP_009408511.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	181	complete	Virion core and cleavage processing protein	USA	Homo sapiens	2013
YP_009408512.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	62	complete	IMV membrane protein virion maturation	USA	Homo sapiens	2013
YP_009408513.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	91	complete	Essential IMV membrane protein	USA	Homo sapiens	2013
YP_009408514.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	53	complete	Non-essential IMV membrane protein	USA	Homo sapiens	2013
YP_009408515.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	94	complete	core protein	USA	Homo sapiens	2013
YP_009408516.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	373	complete	Myristylated protein essential for entry/fusion	USA	Homo sapiens	2013
YP_009408517.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	208	complete	IMV membrane protein	USA	Homo sapiens	2013
YP_009408518.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	481	complete	DNA helicase; transcript release factor	USA	Homo sapiens	2013
YP_009408519.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	73	complete	Zinc finger-like protein	USA	Homo sapiens	2013
YP_009408520.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	116	complete	IMV membrane protein entry/fusion complex component	USA	Homo sapiens	2013
YP_009408521.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	426	complete	viral DNA polymerase processivity factor	USA	Homo sapiens	2013
YP_009408522.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	187	complete	holliday junction resolvase	USA	Homo sapiens	2013
YP_009408523.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	382	complete	VITF-3 45kda subunit	USA	Homo sapiens	2013
YP_009408524.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	1166	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408525.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	1155	complete	A type inclusion protein	USA	Homo sapiens	2013
YP_009408526.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	515	complete	p4c precursor	USA	Homo sapiens	2013
YP_009408527.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	117	complete	IMV surface protein	USA	Homo sapiens	2013
YP_009408528.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	146	complete	IMV MP/Virus entry	USA	Homo sapiens	2013
YP_009408529.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	303	complete	RNA polymerase	USA	Homo sapiens	2013
YP_009408530.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	74	complete	IMV protein	USA	Homo sapiens	2013
YP_009408531.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	46	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408532.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	135	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408533.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	270	complete	ATPase/DNA packaging protein	USA	Homo sapiens	2013
YP_009408534.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	185	complete	EEV membrane phosphoglycoprotein	USA	Homo sapiens	2013
YP_009408535.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	169	complete	C-type lectin-like IEV/EEV glycoprotein	USA	Homo sapiens	2013
YP_009408536.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	175	complete	MHC class II antigen presentation inhibitor	USA	Homo sapiens	2013
YP_009408537.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	220	complete	IEV transmembrane phosphoprotein	USA	Homo sapiens	2013
YP_009408538.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	263	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408539.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	275	complete	CD47-like integral membrane protein	USA	Homo sapiens	2013
YP_009408540.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	133	complete	profilin-like protein	USA	Homo sapiens	2013
YP_009408541.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	190	complete	type-I membrane glycoprotein	USA	Homo sapiens	2013
YP_009408542.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	62	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408543.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	300	complete	23-sialyltransferase	USA	Homo sapiens	2013
YP_009408544.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	347	complete	nucleotide-sugar epimerase	USA	Homo sapiens	2013
YP_009408545.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	108	complete	inactive Cu-Zn superoxide dismutase-like virion protein	USA	Homo sapiens	2013
YP_009408546.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	227	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408547.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	289	complete	Immunoprevalent protein	USA	Homo sapiens	2013
YP_009408548.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	205	complete	thymidylate kinase	USA	Homo sapiens	2013
YP_009408549.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	159	complete	putative Phosphotransferase/anion transport protein	USA	Homo sapiens	2013
YP_009408550.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	550	complete	ATP-dependent DNA ligase	USA	Homo sapiens	2013
YP_009408551.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	333	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408552.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	185	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408553.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	179	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408554.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	402	complete	ornithine decarboxylases	USA	Homo sapiens	2013
YP_009408555.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	564	complete	BTB kelch domain protein	USA	Homo sapiens	2013
YP_009408556.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	197	complete	guanylate kinase	USA	Homo sapiens	2013
YP_009408557.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	302	complete	ser/thr kinase	USA	Homo sapiens	2013
YP_009408558.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	247	complete	Kila-N/RING finger protein	USA	Homo sapiens	2013
YP_009408559.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	193	complete	Schlafen	USA	Homo sapiens	2013
YP_009408560.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	319	complete	EEV type-1 membrane glycoprotein	USA	Homo sapiens	2013
YP_009408561.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	235	complete	IL-1 recelptor type 2	USA	Homo sapiens	2013
YP_009408562.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	183	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408563.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	270	complete	soluble interferon-gamma receptor-like protein	USA	Homo sapiens	2013
YP_009408564.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	217	complete	YKV MT-4 like protein	USA	Homo sapiens	2013
YP_009408565.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	286	complete	ser/thr protein kinase-like protein	USA	Homo sapiens	2013
YP_009408566.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	364	complete	Serpin 123	USA	Homo sapiens	2013
YP_009408567.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	152	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408568.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	335	complete	IL-1-beta inhibitor	USA	Homo sapiens	2013
YP_009408569.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	357	complete	IFN-alpha/beta-receptor-like secreted glycoprotein	USA	Homo sapiens	2013
YP_009408570.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	815	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408571.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	408	complete	kelch-like protein	USA	Homo sapiens	2013
YP_009408572.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	347	complete	ankyrin-like protein/NFkB inhibitor	USA	Homo sapiens	2013
YP_009408573.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	222	complete	NFkB inhibitor	USA	Homo sapiens	2013
YP_009408574.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	337	complete	MHC class I protein	USA	Homo sapiens	2013
YP_009408575.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	438	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408576.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	86	complete	TNF-alpha receptor like protein	USA	Homo sapiens	2013
YP_009408577.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	227	complete	NFkB inhibitor	USA	Homo sapiens	2013
YP_009408578.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	124	complete	C-type lectin domain containing protein	USA	Homo sapiens	2013
YP_009408579.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	351	complete	Serpin 123	USA	Homo sapiens	2013
YP_009408580.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	148	complete	hypothetical protein	USA	Homo sapiens	2013
YP_009408581.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	567	complete	ankyrin-repeat protein	USA	Homo sapiens	2013
YP_009408582.1	NY_014 poxvirus	Centapoxvirus	Poxviridae	dsDNA	123	complete	Type 1 IFN inhibitor	USA	Homo sapiens	2013
